Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
GLCM_HUMAN,6.01E+04,5.68E+04,6.93E+04,7.15E+04,1.25E+04,1.64E+04,2.43E+04,2.74E+04,2.80E+04,2.83E+04,4.45E+04,3.92E+04
FUCO_HUMAN,7.05E+03,8.24E+03,7.94E+03,9.91E+03,,2.11E+03,3.52E+03,4.82E+03,3.47E+03,3.89E+03,7.66E+03,9.10E+03
ALDOA_HUMAN,2.95E+05,3.20E+05,3.35E+05,3.32E+05,4.89E+05,5.13E+05,4.76E+05,5.12E+05,3.18E+05,3.33E+05,3.12E+05,3.41E+05
CYTB_HUMAN,5.79E+04,4.41E+04,3.70E+04,4.45E+04,1.51E+05,1.47E+05,1.59E+05,1.70E+05,5.97E+04,6.09E+04,6.58E+04,7.88E+04
ANXA1_HUMAN,2.97E+04,3.10E+04,2.38E+04,2.43E+04,2.18E+05,2.34E+05,2.22E+05,2.54E+05,2.46E+04,2.61E+04,2.42E+04,2.80E+04
APOB_HUMAN,2.15E+05,2.12E+05,1.71E+05,1.59E+05,6.17E+04,6.72E+04,9.87E+04,1.16E+05,9.44E+04,9.78E+04,1.35E+05,1.61E+05
PRIO_HUMAN,1.09E+04,7.31E+03,9.70E+03,1.12E+04,2.19E+04,2.75E+04,2.10E+04,2.37E+04,1.80E+04,1.91E+04,1.70E+04,1.99E+04
SODM_HUMAN,,1.64E+03,2.89E+03,4.30E+03,,,7.79E+02,,3.06E+03,3.32E+03,1.38E+03,3.21E+03
LCAT_HUMAN,,,,5.05E+03,,2.90E+03,3.58E+03,3.91E+03,3.39E+03,3.97E+03,,3.54E+03
OAT_HUMAN,6.38E+03,6.60E+03,1.62E+04,1.63E+04,,,1.90E+03,3.29E+03,5.93E+03,5.59E+03,6.48E+03,6.86E+03
KITH_HUMAN,1.07E+04,7.78E+03,1.14E+04,1.05E+04,1.39E+04,1.47E+04,1.41E+04,1.11E+04,8.07E+03,9.08E+03,8.40E+03,6.98E+03
A1BG_HUMAN,3.23E+04,3.21E+04,3.70E+04,4.00E+04,2.43E+04,1.73E+04,1.99E+04,9.59E+03,3.58E+04,2.93E+04,5.92E+04,4.87E+04
K2C6B_HUMAN,1.11E+05,1.11E+05,2.10E+04,2.27E+04,3.21E+04,2.90E+04,1.14E+04,1.46E+04,3.33E+04,2.86E+04,6.76E+03,6.59E+03
K2C1_HUMAN,4.78E+06,4.61E+06,3.17E+06,3.14E+06,1.09E+06,1.14E+06,9.71E+05,1.03E+06,1.32E+06,1.36E+06,8.20E+05,8.69E+05
S100B_HUMAN,,,,,3.29E+04,3.50E+04,3.09E+04,4.42E+04,2.39E+04,2.54E+04,2.14E+04,2.45E+04
SHBG_HUMAN,2.25E+03,1.48E+03,2.03E+03,1.79E+03,1.59E+03,1.54E+03,1.39E+03,1.44E+03,1.06E+03,,,1.27E+03
SEMG1_HUMAN,,,,,,,,,3.73E+03,3.02E+03,,
TBB4A_HUMAN,1.44E+05,1.16E+05,1.60E+05,1.57E+05,1.98E+05,2.03E+05,1.87E+05,2.02E+05,2.05E+05,2.16E+05,2.14E+05,2.44E+05
G3P_HUMAN,7.82E+05,7.82E+05,8.09E+05,7.60E+05,9.35E+05,9.64E+05,8.66E+05,8.98E+05,8.34E+05,8.35E+05,8.09E+05,8.52E+05
G3P_HUMAN,,,1.03E+03,,1.57E+03,1.50E+03,1.87E+03,1.79E+03,1.17E+03,,1.13E+03,7.71E+02
ARLY_HUMAN,1.21E+04,7.47E+03,6.87E+03,7.93E+03,5.63E+03,5.63E+03,7.40E+03,6.80E+03,7.82E+03,8.28E+03,8.11E+03,8.80E+03
HLAA_HUMAN,9.11E+05,9.59E+05,8.96E+05,9.23E+05,5.31E+05,6.05E+05,5.54E+05,5.86E+05,7.67E+05,8.03E+05,7.17E+05,7.87E+05
HLAA_HUMAN,,,,,7.04E+04,7.81E+04,7.89E+04,9.54E+04,,,1.38E+03,
ERBB2_HUMAN,3.40E+04,3.56E+04,3.59E+04,3.72E+04,2.26E+04,2.43E+04,2.44E+04,2.79E+04,2.72E+04,2.86E+04,3.08E+04,3.42E+04
CPNS1_HUMAN,1.96E+04,1.95E+04,1.73E+04,1.81E+04,2.88E+04,3.25E+04,2.91E+04,3.28E+04,1.87E+04,2.07E+04,1.91E+04,2.01E+04
HSPB1_HUMAN,2.73E+05,2.48E+05,3.10E+05,3.28E+05,3.66E+05,3.81E+05,3.49E+05,3.73E+05,4.58E+05,4.78E+05,4.33E+05,4.66E+05
TYSY_HUMAN,1.19E+04,7.79E+03,1.15E+04,1.16E+04,2.23E+04,2.39E+04,1.98E+04,2.28E+04,2.01E+04,1.86E+04,2.17E+04,2.58E+04
RPN1_HUMAN,1.75E+04,2.03E+04,2.57E+04,2.39E+04,5.81E+03,7.59E+03,9.01E+03,9.97E+03,8.57E+03,8.51E+03,1.13E+04,1.38E+04
RPN2_HUMAN,2.04E+04,1.53E+04,1.77E+04,1.83E+04,4.96E+03,4.67E+03,6.50E+03,7.26E+03,6.76E+03,7.50E+03,1.05E+04,1.09E+04
GNAI2_HUMAN,1.27E+06,1.25E+06,1.01E+06,1.02E+06,1.20E+06,1.32E+06,1.10E+06,1.27E+06,1.00E+06,1.02E+06,9.71E+05,1.09E+06
B3A2_HUMAN,1.19E+05,1.19E+05,1.30E+05,1.31E+05,2.83E+04,3.12E+04,2.95E+04,3.25E+04,6.32E+04,6.77E+04,7.91E+04,8.23E+04
AT1A1_HUMAN,1.71E+06,1.73E+06,1.52E+06,1.57E+06,1.76E+06,1.82E+06,1.66E+06,1.75E+06,1.59E+06,1.64E+06,1.63E+06,1.77E+06
AT1B1_HUMAN,6.90E+04,7.16E+04,5.88E+04,6.26E+04,1.02E+05,1.11E+05,1.01E+05,1.03E+05,1.21E+05,1.23E+05,1.13E+05,1.21E+05
ALDOB_HUMAN,5.10E+03,3.28E+03,2.51E+03,2.71E+03,3.82E+03,1.79E+03,2.48E+03,2.85E+03,2.17E+03,1.52E+03,1.62E+03,1.50E+03
A4_HUMAN,1.76E+04,1.76E+04,2.38E+04,2.14E+04,9.04E+03,9.30E+03,8.69E+03,9.91E+03,1.66E+04,1.80E+04,3.81E+04,4.34E+04
ARGI1_HUMAN,1.10E+05,1.19E+05,8.69E+04,8.01E+04,3.19E+04,3.19E+04,2.39E+04,2.70E+04,3.06E+04,2.94E+04,2.78E+04,3.10E+04
APOD_HUMAN,1.51E+04,1.59E+04,2.03E+04,2.22E+04,2.68E+04,2.97E+04,2.27E+04,2.17E+04,9.25E+03,1.04E+04,4.60E+03,5.61E+03
ALDH2_HUMAN,,7.51E+03,7.67E+03,6.86E+03,,1.27E+04,,,9.44E+03,8.37E+03,9.52E+03,8.52E+03
ITB3_HUMAN,1.56E+05,1.65E+05,8.89E+04,9.38E+04,3.95E+05,4.19E+05,3.65E+05,3.99E+05,2.60E+05,2.80E+05,2.51E+05,2.86E+05
ITB2_HUMAN,1.48E+04,9.85E+03,9.10E+03,1.11E+04,7.17E+03,1.07E+04,9.89E+03,6.90E+03,8.73E+03,1.97E+04,8.24E+03,1.40E+04
S10A8_HUMAN,2.65E+04,2.93E+04,2.45E+04,2.41E+04,6.36E+03,7.43E+03,2.63E+04,3.04E+04,1.35E+04,1.40E+04,2.14E+04,2.23E+04
HMGN1_HUMAN,7.74E+03,7.51E+03,7.68E+03,1.01E+04,1.30E+04,1.88E+04,2.17E+04,2.66E+04,7.71E+03,9.97E+03,1.02E+04,1.31E+04
KPCG_HUMAN,,1.08E+04,6.58E+03,6.76E+03,,6.80E+03,3.21E+03,,5.22E+03,5.09E+03,,5.96E+03
ADT2_HUMAN,6.54E+04,6.40E+04,8.76E+04,8.06E+04,1.21E+04,1.24E+04,1.54E+04,1.59E+04,2.03E+04,1.79E+04,2.90E+04,3.11E+04
CFAI_HUMAN,4.27E+03,3.16E+03,3.13E+03,3.04E+03,4.00E+03,3.86E+03,1.98E+03,2.93E+03,3.64E+03,3.69E+03,2.79E+03,4.01E+03
ISG15_HUMAN,,,,,1.39E+03,2.40E+03,2.03E+03,2.40E+03,4.47E+03,3.74E+03,4.06E+03,3.76E+03
PERM_HUMAN,,4.50E+03,3.24E+03,4.02E+03,1.26E+03,,5.65E+03,5.33E+03,3.60E+03,,2.31E+03,3.76E+03
PPBT_HUMAN,8.58E+03,7.20E+03,6.62E+03,6.58E+03,3.24E+03,2.92E+03,2.96E+03,3.59E+03,3.80E+03,,4.75E+03,5.78E+03
IF2A_HUMAN,3.95E+04,3.65E+04,4.97E+04,4.94E+04,3.29E+04,3.38E+04,3.12E+04,3.65E+04,3.89E+04,3.84E+04,3.89E+04,4.40E+04
HMGN2_HUMAN;HMGN3_HUMAN,,,,2.90E+03,4.28E+03,9.00E+03,1.17E+04,1.93E+04,2.01E+03,3.29E+03,6.85E+03,7.65E+03
ICAM1_HUMAN,3.21E+05,2.91E+05,3.07E+05,2.98E+05,2.59E+05,2.77E+05,2.28E+05,2.56E+05,2.21E+06,2.22E+06,1.90E+06,1.91E+06
RLA1_HUMAN,6.76E+04,1.08E+05,7.54E+04,5.90E+04,7.20E+04,6.12E+04,6.22E+04,6.22E+04,6.68E+04,4.94E+04,4.36E+04,4.29E+04
RLA2_HUMAN,1.15E+05,1.05E+05,1.63E+05,1.59E+05,1.23E+05,1.21E+05,1.40E+05,1.63E+05,1.28E+05,1.42E+05,9.42E+04,1.03E+05
RLA0_HUMAN,7.72E+04,8.79E+04,9.00E+04,9.02E+04,2.96E+04,3.05E+04,3.85E+04,4.21E+04,4.02E+04,4.10E+04,4.17E+04,4.63E+04
FABPH_HUMAN,9.76E+04,9.10E+04,9.82E+04,9.97E+04,,1.05E+05,,1.21E+03,3.08E+04,3.23E+04,3.51E+04,3.76E+04
TETN_HUMAN,9.08E+03,8.46E+03,6.24E+03,6.56E+03,1.02E+04,1.16E+04,4.21E+03,5.89E+03,6.32E+03,7.10E+03,7.24E+03,8.72E+03
LA_HUMAN,1.19E+04,1.05E+04,1.33E+04,1.31E+04,1.04E+04,1.14E+04,1.32E+04,1.32E+04,9.27E+03,9.99E+03,1.20E+04,1.25E+04
THBG_HUMAN,1.63E+04,1.66E+04,1.26E+04,1.25E+04,9.24E+03,8.97E+03,1.04E+04,1.13E+04,9.48E+03,1.11E+04,9.69E+03,1.07E+04
HEP2_HUMAN,2.66E+04,2.75E+04,2.21E+04,2.30E+04,1.29E+04,1.48E+04,1.72E+04,1.97E+04,1.40E+04,1.43E+04,1.28E+04,1.61E+04
ITB1_HUMAN,4.53E+05,4.57E+05,3.67E+05,3.84E+05,4.15E+05,4.67E+05,4.26E+05,4.87E+05,4.38E+05,4.59E+05,4.49E+05,5.13E+05
KPCB_HUMAN,2.31E+04,2.73E+04,1.57E+04,1.76E+04,9.33E+03,9.36E+03,9.35E+03,1.20E+04,1.64E+04,1.90E+04,1.67E+04,2.03E+04
K1C18_HUMAN,,,,,,,1.34E+03,1.95E+03,,,,
K2C8_HUMAN,4.00E+04,2.75E+04,1.96E+04,1.26E+04,,3.75E+03,5.61E+03,5.91E+03,5.06E+03,3.97E+03,6.69E+03,7.39E+03
DCUP_HUMAN,9.15E+03,7.04E+03,9.08E+03,8.85E+03,1.33E+04,1.44E+04,1.41E+04,1.50E+04,1.37E+04,1.32E+04,1.44E+04,1.55E+04
INSR_HUMAN,1.55E+04,1.65E+04,1.58E+04,1.60E+04,1.69E+04,1.88E+04,1.67E+04,2.06E+04,2.05E+04,2.33E+04,2.40E+04,2.64E+04
FYN_HUMAN,5.87E+03,4.59E+03,2.85E+03,5.26E+03,2.79E+04,2.82E+04,3.04E+04,3.52E+04,1.95E+04,2.04E+04,2.20E+04,2.37E+04
FYN_HUMAN,,,,,5.45E+03,7.26E+03,8.96E+03,1.04E+04,5.09E+03,5.46E+03,5.65E+03,6.59E+03
CHLE_HUMAN,1.81E+04,1.72E+04,1.87E+04,1.84E+04,4.66E+03,6.34E+03,4.40E+03,5.43E+03,6.53E+03,7.61E+03,6.51E+03,7.33E+03
AGAL_HUMAN,1.95E+04,1.73E+04,1.52E+04,1.46E+04,2.82E+03,3.20E+03,4.08E+03,4.34E+03,4.65E+03,4.67E+03,7.85E+03,1.02E+04
GELS_HUMAN,1.17E+05,1.25E+05,9.27E+04,9.46E+04,2.66E+05,2.88E+05,2.40E+05,2.72E+05,1.06E+05,1.13E+05,9.87E+04,1.07E+05
GELS_HUMAN,,,,,,,,,,,,
PTMA_HUMAN,3.10E+05,2.77E+05,4.01E+05,4.12E+05,1.65E+05,1.80E+05,2.12E+05,2.43E+05,1.26E+05,1.20E+05,9.32E+04,8.03E+04
CDK1_HUMAN,6.15E+04,6.11E+04,7.97E+04,7.90E+04,4.40E+04,4.92E+04,5.10E+04,5.67E+04,3.23E+04,3.29E+04,3.25E+04,3.47E+04
ATPB_HUMAN,1.65E+05,1.72E+05,3.34E+05,3.43E+05,4.01E+04,4.52E+04,5.01E+04,5.29E+04,7.17E+04,7.58E+04,1.00E+05,1.08E+05
S10A9_HUMAN,2.72E+04,2.44E+04,2.82E+04,2.58E+04,5.91E+03,7.31E+03,4.33E+04,3.87E+04,1.24E+04,1.40E+04,1.89E+04,2.18E+04
S10A6_HUMAN,1.25E+04,8.64E+03,1.50E+04,1.28E+04,3.26E+05,3.41E+05,3.14E+05,3.32E+05,2.63E+03,1.41E+04,3.36E+03,3.72E+03
APOA4_HUMAN,9.28E+03,8.50E+03,8.71E+03,7.97E+03,5.39E+03,4.99E+03,5.75E+03,5.07E+03,5.78E+03,5.26E+03,4.90E+03,6.02E+03
IF4E_HUMAN,1.01E+04,1.07E+04,1.57E+04,1.51E+04,1.19E+04,1.41E+04,1.49E+04,1.71E+04,1.54E+04,1.45E+04,1.60E+04,1.73E+04
ENOA_HUMAN,4.63E+05,4.54E+05,4.17E+05,3.95E+05,8.00E+05,8.52E+05,7.97E+05,8.80E+05,7.82E+05,8.12E+05,7.49E+05,8.47E+05
ENOA_HUMAN,,,5.99E+03,4.99E+03,5.31E+03,4.78E+03,1.75E+04,1.95E+04,1.13E+04,1.41E+04,1.65E+04,1.76E+04
PYGL_HUMAN,1.32E+04,9.84E+03,9.33E+03,7.25E+03,5.62E+03,6.56E+03,5.38E+03,8.25E+03,5.68E+03,6.48E+03,6.38E+03,6.76E+03
G6PI_HUMAN,1.07E+05,1.12E+05,9.62E+04,9.57E+04,2.37E+05,2.49E+05,2.61E+05,2.75E+05,1.26E+05,1.30E+05,1.25E+05,1.39E+05
NPM_HUMAN,9.68E+04,9.93E+04,1.03E+05,1.06E+05,8.19E+04,8.27E+04,1.16E+05,1.10E+05,4.06E+04,3.99E+04,6.91E+04,7.26E+04
TPM3_HUMAN,,2.87E+03,,,1.27E+03,3.06E+03,2.22E+03,2.76E+03,,3.27E+03,,
TPM3_HUMAN,1.68E+05,1.59E+05,2.00E+05,2.07E+05,3.10E+05,3.29E+05,2.79E+05,2.71E+05,2.28E+05,2.31E+05,1.97E+05,2.02E+05
ITAV_HUMAN,1.28E+05,1.27E+05,1.04E+05,1.15E+05,5.42E+05,5.91E+05,4.98E+05,5.60E+05,4.65E+05,4.85E+05,4.50E+05,4.86E+05
LIPL_HUMAN,2.10E+04,1.63E+04,1.54E+04,1.50E+04,,9.56E+03,,1.52E+04,9.34E+03,1.26E+04,,1.29E+04
HEXA_HUMAN,6.46E+04,5.91E+04,7.40E+04,6.80E+04,9.22E+03,8.57E+03,1.65E+04,1.69E+04,1.21E+04,1.12E+04,2.34E+04,2.48E+04
GDN_HUMAN,6.58E+03,6.72E+03,4.76E+03,6.00E+03,5.71E+04,6.31E+04,5.89E+04,6.97E+04,5.68E+04,6.26E+04,6.14E+04,6.88E+04
GDN_HUMAN,,,,,2.18E+03,3.61E+03,3.10E+03,2.66E+03,1.53E+03,1.22E+03,1.26E+03,
HYEP_HUMAN,1.77E+04,1.53E+04,1.80E+04,1.78E+04,6.33E+03,7.75E+03,1.01E+04,1.15E+04,1.39E+04,1.40E+04,1.76E+04,1.88E+04
ACBP_HUMAN,1.03E+05,8.75E+04,9.41E+04,1.05E+05,1.32E+05,1.52E+05,1.19E+05,1.40E+05,1.01E+05,1.04E+05,1.04E+05,1.18E+05
LDHB_HUMAN,4.92E+05,4.59E+05,4.47E+05,4.42E+05,9.67E+05,1.03E+06,8.38E+05,9.05E+05,5.19E+05,5.63E+05,5.03E+05,5.56E+05
GPX1_HUMAN,,,,,4.86E+03,5.57E+03,5.21E+03,6.24E+03,5.04E+03,6.63E+03,4.99E+03,5.35E+03
PGK2_HUMAN,6.51E+03,8.42E+03,8.40E+03,9.05E+03,1.64E+04,1.87E+04,8.76E+03,1.40E+04,1.23E+04,1.48E+04,1.35E+04,1.58E+04
PROS_HUMAN,1.35E+04,7.99E+03,7.76E+03,6.24E+03,5.59E+03,4.83E+03,6.61E+03,5.36E+03,9.57E+03,9.16E+03,9.16E+03,9.02E+03
PDIA1_HUMAN,5.87E+04,5.80E+04,6.60E+04,6.91E+04,1.74E+04,1.91E+04,2.19E+04,2.45E+04,3.65E+04,3.83E+04,4.53E+04,4.61E+04
ACYP1_HUMAN,1.09E+04,8.42E+03,5.09E+03,4.68E+03,9.48E+03,1.12E+04,9.95E+03,1.14E+04,7.97E+03,9.28E+03,8.87E+03,8.51E+03
CATD_HUMAN,3.61E+05,3.54E+05,4.44E+05,4.17E+05,1.02E+05,1.07E+05,1.55E+05,1.72E+05,9.51E+04,9.29E+04,2.06E+05,2.05E+05
ANXA2_HUMAN,5.13E+05,4.79E+05,3.91E+05,3.88E+05,5.03E+05,4.97E+05,5.26E+05,5.59E+05,2.62E+05,2.76E+05,2.98E+05,3.16E+05
CO8B_HUMAN,1.39E+04,1.54E+04,1.06E+04,8.54E+03,9.94E+03,1.11E+04,1.15E+04,1.35E+04,7.96E+03,8.03E+03,8.46E+03,1.01E+04
CAN1_HUMAN,2.24E+04,2.17E+04,2.40E+04,2.40E+04,2.12E+04,2.23E+04,2.11E+04,2.43E+04,2.20E+04,2.28E+04,2.43E+04,2.51E+04
TBB5_HUMAN,4.48E+05,4.43E+05,4.69E+05,4.86E+05,4.40E+05,4.82E+05,4.22E+05,4.80E+05,5.30E+05,5.74E+05,5.42E+05,5.66E+05
INVO_HUMAN,1.60E+03,,,,5.20E+02,,2.16E+03,2.25E+03,,,,
ADRB2_HUMAN,,,,,,,,,7.43E+03,8.43E+03,9.09E+03,8.65E+03
SAP_HUMAN,2.97E+05,2.91E+05,3.33E+05,3.18E+05,4.58E+04,4.27E+04,5.88E+04,6.05E+04,4.15E+04,4.59E+04,7.75E+04,8.40E+04
HEXB_HUMAN,9.75E+04,8.91E+04,1.24E+05,1.25E+05,1.25E+04,1.34E+04,2.36E+04,2.49E+04,1.98E+04,2.33E+04,4.72E+04,4.59E+04
CATL1_HUMAN,2.01E+03,2.92E+03,3.10E+03,3.22E+03,,,,,,,,
PROF1_HUMAN,2.59E+05,2.24E+05,2.36E+05,2.39E+05,4.12E+05,4.47E+05,4.77E+05,4.84E+05,4.29E+05,4.14E+05,4.53E+05,4.82E+05
PMGE_HUMAN,6.42E+03,9.96E+03,,7.22E+03,6.86E+03,8.10E+03,6.46E+03,6.07E+03,4.05E+03,3.05E+03,4.36E+03,5.87E+03
APT_HUMAN,3.36E+04,3.34E+04,4.53E+04,4.93E+04,5.21E+04,5.43E+04,5.20E+04,5.32E+04,4.81E+04,4.97E+04,5.08E+04,6.61E+04
SYEP_HUMAN,5.94E+04,6.17E+04,6.54E+04,6.36E+04,2.14E+04,2.32E+04,2.71E+04,2.98E+04,4.34E+04,4.64E+04,6.39E+04,6.90E+04
CATB_HUMAN,7.55E+04,7.30E+04,7.73E+04,7.77E+04,1.84E+04,2.03E+04,3.02E+04,3.02E+04,2.07E+04,2.30E+04,3.14E+04,3.31E+04
HS90A_HUMAN,2.39E+05,2.36E+05,2.61E+05,2.59E+05,2.70E+05,2.95E+05,2.64E+05,3.12E+05,5.62E+05,6.18E+05,5.44E+05,5.99E+05
GALT_HUMAN,,,3.06E+03,5.24E+03,1.98E+03,,1.78E+03,,3.75E+03,4.57E+03,2.24E+03,4.53E+03
HNRPC_HUMAN,2.86E+05,2.75E+05,2.67E+05,2.84E+05,2.74E+04,2.78E+04,4.45E+04,4.93E+04,6.77E+04,6.76E+04,1.83E+05,1.88E+05
QCR6_HUMAN,6.72E+03,4.85E+03,3.74E+03,4.37E+03,2.12E+03,2.78E+03,2.58E+03,1.67E+03,2.51E+03,2.47E+03,2.58E+03,2.73E+03
LAMB1_HUMAN,1.15E+05,1.15E+05,1.10E+05,1.14E+05,2.31E+04,2.59E+04,3.21E+04,3.53E+04,2.28E+04,2.40E+04,3.56E+04,3.92E+04
YES_HUMAN,1.46E+05,1.53E+05,1.41E+05,1.36E+05,1.98E+05,2.27E+05,2.20E+05,2.55E+05,1.80E+05,1.95E+05,2.00E+05,2.14E+05
LYN_HUMAN,1.75E+05,1.85E+05,1.65E+05,1.64E+05,1.46E+05,1.58E+05,1.52E+05,1.76E+05,7.28E+04,7.45E+04,7.54E+04,8.66E+04
LYN_HUMAN,4.78E+04,4.76E+04,4.59E+04,4.34E+04,3.22E+04,2.72E+04,2.13E+04,3.42E+04,7.68E+03,5.28E+03,5.67E+03,6.32E+03
TPM2_HUMAN,,5.82E+03,,1.11E+04,2.13E+03,,1.67E+04,,1.92E+04,2.05E+04,1.69E+04,1.80E+04
FUMH_HUMAN,1.02E+04,1.08E+04,1.35E+04,1.60E+04,1.73E+04,1.76E+04,1.71E+04,1.96E+04,1.81E+04,1.99E+04,1.69E+04,1.78E+04
TSP1_HUMAN,4.86E+04,4.83E+04,3.53E+04,3.55E+04,3.58E+04,3.87E+04,3.23E+04,3.70E+04,2.24E+04,2.38E+04,2.27E+04,2.48E+04
CXB1_HUMAN,,,,3.06E+03,3.84E+04,4.66E+04,4.32E+04,5.09E+04,9.02E+03,8.86E+03,1.23E+04,1.37E+04
SP1_HUMAN,,,6.02E+02,3.64E+02,2.28E+02,3.05E+02,2.96E+02,4.38E+02,1.45E+02,6.09E+01,,5.22E+02
IGF1R_HUMAN,3.26E+04,3.14E+04,2.90E+04,2.95E+04,4.95E+04,5.22E+04,5.13E+04,5.44E+04,6.29E+04,6.38E+04,6.91E+04,7.48E+04
CO1A2_HUMAN,8.59E+04,4.69E+04,2.59E+04,2.26E+04,1.01E+04,7.83E+03,7.83E+03,5.68E+03,8.21E+03,7.66E+03,5.38E+03,6.73E+03
ANXA6_HUMAN,1.11E+06,1.13E+06,8.15E+05,8.13E+05,4.47E+05,4.85E+05,5.11E+05,5.96E+05,3.89E+05,4.02E+05,4.16E+05,4.61E+05
RHOC_HUMAN,2.29E+04,2.99E+04,4.49E+04,5.00E+04,4.80E+04,6.59E+04,5.98E+04,8.67E+04,6.28E+04,6.92E+04,7.12E+04,7.24E+04
TNR16_HUMAN,,,,,1.51E+03,1.29E+03,1.40E+03,1.32E+03,1.39E+03,1.06E+03,,
DAF_HUMAN,2.26E+04,2.19E+04,1.47E+04,1.66E+04,1.77E+04,1.86E+04,1.65E+04,1.92E+04,9.24E+04,1.05E+05,9.60E+04,1.04E+05
MDR1_HUMAN,,6.45E+03,,5.57E+03,1.31E+04,1.27E+04,2.08E+04,2.12E+04,,,,
4F2_HUMAN,1.58E+06,1.60E+06,1.43E+06,1.46E+06,9.08E+05,9.91E+05,1.06E+06,1.20E+06,1.45E+06,1.48E+06,1.49E+06,1.59E+06
4F2_HUMAN,8.50E+04,8.59E+04,1.17E+05,1.04E+05,6.62E+04,6.18E+04,5.95E+04,5.72E+04,5.20E+04,7.09E+04,8.06E+04,3.91E+04
BGLR_HUMAN,6.61E+03,5.97E+03,8.06E+03,8.11E+03,,,3.06E+03,2.88E+03,6.24E+03,5.93E+03,1.01E+04,1.09E+04
PFKAM_HUMAN,2.07E+04,1.92E+04,2.21E+04,2.38E+04,2.91E+04,3.15E+04,3.00E+04,3.26E+04,3.35E+04,3.56E+04,3.26E+04,3.43E+04
HS90B_HUMAN,1.21E+06,1.19E+06,1.45E+06,1.47E+06,1.05E+06,1.19E+06,1.01E+06,1.22E+06,8.09E+05,8.48E+05,7.62E+05,8.48E+05
SRPRA_HUMAN,6.30E+03,4.52E+03,4.22E+03,6.09E+03,1.70E+03,2.61E+03,2.73E+03,5.37E+03,2.77E+03,2.69E+03,3.42E+03,4.26E+03
ASNS_HUMAN,2.42E+04,2.43E+04,2.40E+04,2.15E+04,3.36E+04,3.72E+04,3.69E+04,4.00E+04,1.97E+04,2.01E+04,1.97E+04,2.44E+04
ELNE_HUMAN,,,,,,,1.82E+04,1.74E+04,,,,
GSTA1_HUMAN;GSTA2_HUMAN,5.07E+03,4.05E+03,3.06E+03,4.94E+03,3.40E+03,4.45E+03,3.09E+03,4.83E+03,2.26E+03,3.27E+03,3.33E+03,3.52E+03
SODE_HUMAN,,4.42E+03,2.56E+03,4.49E+03,,,,,3.13E+04,2.91E+04,1.97E+04,1.28E+04
CATG_HUMAN,,,,,,,2.36E+04,2.44E+04,,,,
HEM3_HUMAN,,7.19E+03,3.76E+03,8.02E+03,4.87E+03,5.36E+03,5.26E+03,5.60E+03,7.58E+03,8.76E+03,7.40E+03,7.60E+03
NEP_HUMAN,8.95E+03,,,5.30E+03,,,,,1.47E+04,1.54E+04,1.63E+04,1.84E+04
MGP_HUMAN,,,,,,2.02E+03,2.75E+03,2.46E+03,2.52E+04,2.75E+04,3.93E+04,3.73E+04
ITA2B_HUMAN,7.15E+04,7.99E+04,3.84E+04,3.44E+04,3.01E+04,3.81E+04,2.78E+04,2.96E+04,4.04E+04,3.35E+04,2.60E+04,2.18E+04
PLEK_HUMAN,5.65E+03,8.85E+03,4.91E+03,9.50E+03,3.07E+03,6.15E+03,4.49E+03,9.62E+03,7.73E+03,8.96E+03,9.26E+03,8.87E+03
CO4A2_HUMAN,2.13E+04,1.97E+04,1.83E+04,1.54E+04,2.57E+04,2.75E+04,2.40E+04,2.48E+04,,,2.37E+04,
CY1_HUMAN,4.03E+03,4.71E+03,7.69E+03,7.51E+03,1.61E+03,1.80E+03,1.68E+03,2.19E+03,2.05E+03,3.30E+03,4.50E+03,5.09E+03
PTPRC_HUMAN,1.51E+04,1.60E+04,8.24E+03,1.01E+04,6.92E+03,6.89E+03,6.51E+03,7.37E+03,1.07E+04,1.15E+04,9.97E+03,8.14E+03
RU2B_HUMAN,,,,,,,,,,1.78E+03,2.68E+03,3.69E+03
MET_HUMAN,2.44E+04,2.00E+04,2.32E+04,2.30E+04,2.65E+03,4.94E+03,5.53E+03,5.99E+03,2.55E+04,2.51E+04,3.06E+04,3.26E+04
TRFM_HUMAN,1.89E+04,1.85E+04,1.45E+04,1.40E+04,,1.06E+03,,2.71E+03,4.30E+04,4.78E+04,4.38E+04,4.69E+04
MYL3_HUMAN,4.60E+04,4.64E+04,4.25E+04,4.69E+04,5.37E+04,5.86E+04,3.37E+04,4.30E+04,4.98E+04,5.59E+04,5.22E+04,5.21E+04
RU17_HUMAN,2.17E+04,2.70E+04,3.33E+04,3.55E+04,1.29E+04,1.38E+04,1.68E+04,1.76E+04,2.08E+04,2.34E+04,2.35E+04,2.81E+04
HCK_HUMAN,3.22E+03,3.15E+03,1.23E+03,1.94E+03,3.15E+03,3.15E+03,5.02E+03,5.14E+03,1.18E+03,,1.49E+03,1.77E+03
